concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
47	37	43	51	40	67
47	37	43	51	40	67
34	45	37	51	38	72
51	39	33	50	48	53
40	37	41	50	38	69
11	31	7	38	39	70
47	42	53	54	49	81
50	40	39	45	35	75
65	48	22	67	49	78
48	58	0	51	22	79
96	48	143	77	46	44
69	39	42	49	31	79
58	47	46	54	37	75
46	31	0	29	48	86
28	60	9	39	54	81
43	38	33	53	39	69
73	47	39	46	39	60
56	40	59	38	16	68
45	42	52	45	40	67
28	31	0	51	51	56
44	39	33	51	41	67
73	35	50	52	36	65
46	42	42	55	45	83
63	43	41	53	40	69
31	10	64	43	50	64
44	39	32	46	42	71
42	45	38	53	39	66
87	40	36	54	37	71
44	43	52	54	38	72
0	30	98	22	43	72
43	42	12	54	67	71
22	65	54	79	37	79
49	52	49	52	44	65
50	46	41	55	41	65
68	40	3	49	52	81
44	41	32	53	39	69
49	43	32	53	43	72
167	50	42	56	37	68
49	41	36	53	43	69
55	22	54	63	50	69
37	41	34	50	41	74
53	45	41	53	41	75
50	46	37	51	38	73
66	46	34	53	43	78
72	49	23	50	59	77
40	41	32	49	39	78
30	47	12	52	41	77
30	47	12	52	41	77
45	48	45	54	39	76
49	39	68	54	49	84
77	47	34	49	40	78
54	80	1	82	81	87
49	50	50	60	49	77
34	52	67	48	38	68
41	43	33	54	40	70
0	31	105	91	1	70
46	46	36	53	39	72
39	37	0	57	34	81
40	42	33	54	40	69
50	46	89	57	47	72
50	41	37	54	37	71
40	51	4	47	0	51
0	83	47	73	49	74
50	42	45	56	50	76
0	48	21	54	39	59
40	45	33	48	40	68
22	66	0	43	32	54
42	43	42	44	42	77
27	29	0	45	56	72
46	41	39	42	39	74
46	42	26	54	50	68
32	53	51	43	35	80
45	55	101	66	40	83
39	38	34	53	37	70
50	42	61	57	20	93
50	41	36	53	38	72
92	6	123	60	50	54
44	41	43	56	42	72
60	33	0	57	65	85
42	37	42	57	40	72
65	12	37	52	43	63
45	44	41	55	39	74
0	38	115	53	23	65
48	43	34	56	42	72
49	32	38	48	30	60
44	36	35	54	37	77
53	42	56	58	50	98
53	43	42	58	41	78
49	15	41	68	83	72
45	41	39	57	41	74
62	30	74	54	0	74
43	43	52	57	40	72
34	36	62	47	20	66
34	36	62	47	20	66
42	42	29	54	39	77
14	18	135	78	28	88
48	44	35	51	42	84
46	43	54	48	15	76
63	46	11	49	50	78
0	29	49	54	86	91
48	47	53	59	61	85
50	44	38	57	40	81
47	40	29	54	40	77
43	39	34	56	42	73
48	39	41	58	55	78
45	38	44	52	42	74
66	21	0	55	14	69
55	36	35	56	39	80
41	41	19	58	36	93
61	42	55	62	49	82
45	42	34	56	43	81
46	36	34	50	22	80
46	36	31	53	40	79
52	29	82	64	38	80
46	38	47	55	46	79
44	40	37	49	41	77
98	41	103	59	90	87
47	39	35	55	39	74
47	39	42	52	41	74
95	35	0	93	97	71
49	43	39	56	38	75
44	0	93	51	91	70
74	50	9	50	8	76
52	52	30	53	9	74
52	49	59	52	44	79
48	46	34	55	40	81
74	33	0	48	58	85
45	41	33	54	38	76
131	41	35	48	41	72
94	75	153	55	43	74
50	44	45	57	42	76
45	42	52	55	38	80
45	37	39	55	41	81
46	39	32	54	41	82
97	48	5	59	46	81
50	46	42	57	42	76
79	37	12	54	41	82
48	33	34	52	31	78
48	33	34	52	31	78
47	44	39	55	41	73
38	37	73	75	39	85
61	38	48	77	53	89
43	34	35	83	71	58
75	66	34	50	62	63
44	41	33	56	42	75
70	50	43	91	92	74
52	48	39	57	43	74
95	53	53	56	42	71
49	43	35	55	39	75
54	43	42	56	79	76
53	44	40	57	42	95
60	41	137	31	37	82
24	35	0	55	48	83
49	43	36	65	40	82
50	59	18	57	41	84
56	49	54	57	44	81
17	43	43	59	23	81
46	46	34	62	42	81
31	47	40	39	47	86
59	47	51	52	43	75
39	45	0	59	29	67
41	42	37	56	39	74
45	46	125	59	70	53
51	48	39	56	44	81
68	25	110	62	29	67
38	41	34	48	57	65
2	12	128	61	42	90
36	60	41	58	23	75
43	45	46	57	42	74
55	44	37	53	37	73
49	45	42	54	41	72
44	46	32	50	40	90
93	44	0	65	43	80
46	41	45	54	41	87
51	42	41	63	43	80
185	43	43	59	72	83
59	44	39	59	43	80
42	51	34	56	51	80
31	31	48	62	47	81
106	48	52	60	41	80
47	38	48	60	45	78
44	29	36	53	28	77
44	40	34	60	41	78
5	43	20	65	23	97
5	43	20	65	23	97
47	41	49	61	43	78
65	42	47	61	49	72
47	36	29	60	40	75
38	39	55	65	46	80
50	37	36	54	45	79
56	34	22	61	29	80
46	43	44	63	43	76
46	43	25	61	62	91
50	43	41	62	47	77
41	38	15	56	22	74
48	36	45	62	42	80
0	45	83	63	49	82
50	37	44	60	43	81
35	43	74	70	64	96
63	38	38	65	41	80
62	38	51	56	93	81
47	44	43	63	46	84
48	54	42	46	43	84
45	42	32	57	45	82
41	57	121	56	41	84
39	47	35	62	39	81
51	48	39	57	49	79
29	42	22	55	16	75
43	44	32	55	42	77
85	49	160	65	49	76
49	47	47	66	20	90
56	30	34	63	49	76
44	44	37	59	42	78
58	48	44	56	57	80
55	42	47	60	55	80
73	39	107	82	33	76
37	38	30	55	34	79
51	42	29	56	45	80
45	45	9	59	47	86
53	44	41	64	43	78
0	38	103	47	39	85
46	43	33	50	45	82
40	71	17	46	47	101
103	36	51	61	40	76
52	43	51	58	43	76
76	42	38	52	43	91
50	37	39	57	42	75
97	38	45	55	51	76
64	45	36	57	47	95
64	45	36	57	47	95
52	44	46	59	46	76
45	40	39	57	41	76
56	39	40	59	44	86
