concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
274	10	34	24	41	82
302	3	1	0	52	76
220	20	14	20	41	79
188	19	16	21	45	79
182	43	28	24	48	81
184	21	4	22	47	83
193	26	16	21	48	80
199	18	25	24	36	85
199	18	25	24	36	85
244	20	15	22	43	78
354	22	22	19	41	80
307	19	17	24	45	82
314	20	16	22	41	83
311	20	17	21	42	84
297	21	0	18	22	76
272	19	20	20	39	86
259	18	19	23	40	88
247	17	31	22	40	100
235	24	138	15	48	81
250	19	21	29	50	92
246	10	0	27	36	101
219	16	39	14	52	88
230	19	15	24	41	98
242	46	20	45	24	119
251	0	0	18	69	105
260	25	20	24	49	123
286	19	36	19	43	109
294	20	29	22	46	115
273	33	40	54	71	111
232	19	12	22	45	89
182	19	12	18	51	92
194	18	16	19	47	85
182	26	18	8	50	83
220	24	30	18	49	80
234	18	19	22	51	76
232	40	0	34	28	71
236	18	15	21	40	60
221	16	9	21	36	73
213	21	24	32	80	73
194	21	34	22	17	76
191	21	19	22	53	77
168	19	110	23	34	70
152	54	70	11	47	66
134	34	10	36	0	69
135	20	17	20	45	67
159	22	23	24	50	68
192	55	61	15	60	67
217	25	126	22	23	74
258	23	22	21	58	68
288	22	15	17	52	80
312	28	36	6	45	92
286	20	15	18	50	92
286	20	15	18	50	92
284	21	21	21	49	96
277	20	26	20	57	95
286	26	85	21	23	101
302	28	36	25	53	98
292	29	0	0	49	83
318	20	25	33	23	81
303	20	16	20	42	84
326	9	12	18	47	87
289	26	41	27	47	88
245	18	31	20	40	86
208	15	0	19	60	80
196	19	14	19	41	83
184	22	14	21	44	82
153	27	28	23	60	83
139	23	32	19	47	84
148	24	27	21	47	84
148	20	15	20	47	81
181	19	19	15	53	82
191	10	0	33	87	77
219	20	25	19	58	84
191	46	0	7	99	93
176	18	18	19	57	80
236	1	0	16	83	61
240	24	22	23	56	85
244	20	25	23	54	87
232	22	13	23	54	88
219	20	16	20	56	86
194	13	0	20	61	98
205	23	23	23	61	87
248	58	0	17	64	86
240	4	81	9	37	84
218	10	71	22	53	94
247	16	78	24	60	93
290	21	21	20	61	94
289	18	0	24	44	99
299	20	23	20	56	97
283	22	23	23	58	103
291	25	48	7	62	111
289	22	32	24	59	124
272	21	16	22	63	135
236	25	16	17	54	136
230	23	12	23	72	109
230	23	12	23	72	109
214	20	13	21	57	106
