concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
51	23	0	11	41	64
76	32	25	53	56	68
80	32	31	20	45	65
74	27	12	19	46	70
117	27	16	27	47	67
139	18	0	14	47	71
112	28	18	22	45	71
166	27	15	21	42	75
245	33	12	38	26	63
305	27	13	15	37	71
185	29	12	21	38	71
146	3	75	8	104	62
112	30	18	21	44	72
86	32	17	21	43	75
82	34	0	20	53	68
84	30	25	20	48	72
99	28	33	36	26	78
103	30	25	21	68	75
87	61	0	11	0	79
118	29	17	17	44	72
197	30	13	19	41	74
294	26	24	23	45	76
344	15	0	19	38	93
314	29	22	19	39	71
293	27	0	21	12	65
237	30	14	19	31	71
204	30	13	20	28	68
204	30	13	20	28	68
174	29	16	15	29	71
169	33	32	20	36	73
179	33	19	21	28	73
132	34	0	36	28	66
151	29	28	13	27	62
164	31	14	20	26	64
169	36	23	17	18	71
194	39	28	23	76	77
152	33	24	27	32	70
137	31	16	8	3	67
129	30	11	14	33	59
124	30	16	20	32	59
105	30	20	23	40	59
141	28	32	21	33	60
146	33	19	19	35	57
125	25	0	21	20	49
137	31	12	19	33	56
173	33	16	22	39	53
226	34	135	17	41	52
233	25	35	24	46	59
268	37	33	21	52	56
249	19	0	6	19	59
282	33	17	20	44	57
308	32	104	2	46	54
244	36	27	23	43	58
191	35	20	29	39	57
124	37	1	24	0	55
151	34	19	12	50	55
185	1	0	19	15	43
189	45	0	8	59	61
201	29	91	13	56	52
231	34	12	21	47	56
228	37	15	20	46	57
239	41	14	20	50	47
253	38	17	22	48	61
286	39	32	17	43	62
308	37	18	11	31	65
340	36	14	20	39	63
318	37	25	18	48	70
228	34	42	21	42	65
198	37	15	20	44	84
216	15	87	0	44	87
216	15	87	0	44	87
204	39	16	17	50	84
237	72	36	26	63	85
184	42	31	21	48	77
199	42	17	22	56	81
170	29	41	39	97	68
181	20	76	19	66	67
217	13	89	39	79	76
199	41	18	22	62	74
159	46	0	24	71	75
142	33	14	14	61	65
143	36	12	20	60	76
135	37	17	19	57	75
149	44	0	19	63	78
177	41	17	19	58	80
204	45	11	20	60	86
186	39	15	27	53	80
139	41	15	21	51	81
166	37	27	15	54	83
106	46	21	21	55	103
146	37	19	20	56	83
193	39	22	19	52	84
169	34	16	25	47	83
126	34	15	21	43	82
111	40	20	24	46	81
124	30	40	25	50	97
134	40	17	32	46	73
166	38	14	20	50	73
166	33	34	5	20	80
131	38	11	17	45	68
151	41	17	23	49	66
160	41	0	21	51	60
182	38	30	20	48	71
183	43	27	20	44	77
184	41	31	24	78	72
190	39	16	18	46	73
192	40	24	20	44	74
173	49	24	18	50	83
165	42	45	23	35	78
160	51	18	20	48	75
150	42	0	15	39	82
144	47	13	21	52	69
144	46	20	20	58	66
157	47	22	22	64	84
157	47	22	22	64	84
203	50	28	19	103	63
185	32	37	29	120	68
159	40	31	21	61	65
148	42	90	14	67	61
138	40	71	36	31	65
122	35	21	20	54	59
112	40	29	20	52	60
169	59	0	21	46	57
184	36	32	23	55	65
223	33	26	19	49	67
177	11	10	19	40	69
176	34	14	18	40	71
180	34	18	25	40	72
207	37	18	26	38	74
230	39	19	22	47	78
249	40	65	61	32	77
248	40	25	24	40	76
202	45	0	26	61	81
205	40	19	16	27	79
193	35	20	27	49	72
206	36	0	18	47	42
252	33	37	23	67	68
303	71	46	19	74	73
345	48	28	22	62	68
347	37	116	24	42	68
323	74	0	11	43	59
174	38	17	20	60	68
151	41	17	22	63	69
197	0	0	24	74	73
194	43	26	31	63	72
267	42	18	20	66	77
321	46	121	30	78	76
257	45	0	28	61	66
252	46	15	21	57	71
297	50	22	22	54	73
309	59	31	26	56	75
309	54	23	23	62	66
292	53	23	19	55	73
279	26	0	0	83	93
240	52	13	18	40	69
