x	y	z	w	concentration
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	39
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	38
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	35
-1.90289	4.49035	-0.0204856	0.99979	32
-1.90289	4.49035	-0.0204856	0.99979	32
-1.90289	4.49035	-0.0203983	0.999792	32
-1.8979	4.49015	-0.0204856	0.99979	32
-1.88704	4.48969	-0.0224922	0.999747	32
-1.87545	4.48916	-0.0240626	0.99971	32
-1.86429	4.48857	-0.0302562	0.999542	32
-1.8437	4.48715	-0.038716	0.99925	32
-1.81221	4.48457	-0.0425526	0.999094	32
-1.77889	4.48172	-0.0430757	0.999072	32
-1.74303	4.47865	-0.042291	0.999105	32
-1.70194	4.47523	-0.0396752	0.999213	32
-1.66141	4.47216	-0.0348789	0.999392	32
-1.62027	4.46939	-0.0332218	0.999448	32
-1.57925	4.46663	-0.0339195	0.999425	32
-1.54666	4.46442	-0.0331346	0.999451	32
-1.50708	4.46185	-0.0313901	0.999507	32
-1.4746	4.45985	-0.0279883	0.999608	32
-1.44253	4.45821	-0.024586	0.999698	32
-1.41297	4.45677	-0.0226667	0.999743	32
-1.38532	4.45561	-0.0174318	0.999848	37
-1.36366	4.45496	-0.0119346	0.999929	37
-1.34132	4.45445	-0.0102766	0.999947	37
-1.31702	4.45282	-0.00590513	0.999983	37
-1.29156	4.45257	-0.00270289	0.999996	37
-1.27117	4.45253	0.00262035	0.999997	37
-1.25663	4.45263	0.00323122	0.999995	37
-1.24149	4.4527	0.00244582	0.999997	37
-1.22832	4.45276	0.00270762	0.999996	37
-1.21612	4.45284	0.00550012	0.999985	37
-1.20414	4.45302	0.00820532	0.999966	36
-1.19271	4.4532	0.00785626	0.999969	36
-1.17951	4.45981	0.00854483	0.999963	36
-1.15873	4.46034	0.00789673	0.999969	36
-1.13187	4.46072	0.00571512	0.999984	36
-1.10453	4.46103	0.0065005	0.999979	36
-1.07707	4.4614	0.00780946	0.99997	36
-1.05499	4.46184	0.0124343	0.999923	36
-1.03392	4.46234	0.0107764	0.999942	36
-1.01845	4.46268	0.0108637	0.999941	36
-1.00216	4.463	0.00903115	0.999959	33
-0.984209	4.46333	0.0093802	0.999956	33
-0.967367	4.46364	0.00859483	0.999963	33
-0.951846	4.46391	0.00815852	0.999967	33
-0.938499	4.46411	0.00667503	0.999978	33
-0.926261	4.46427	0.00597691	0.999982	33
-0.914654	4.46492	0.00402616	0.999992	33
-0.908603	4.46876	0.00260726	0.999997	33
-0.902675	4.46876	-0.00681746	0.999977	33
-0.900884	4.46873	-0.0192954	0.999814	33
-0.900884	4.46873	-0.0183357	0.999832	38
-0.900884	4.46873	-0.0185974	0.999827	38
-0.900884	4.46873	-0.0186847	0.999825	38
-0.900884	4.46873	-0.0182484	0.999833	38
-0.900884	4.46873	-0.0180739	0.999837	38
-0.900884	4.46873	-0.0180739	0.999837	38
-0.900884	4.46873	-0.0180739	0.999837	38
-0.900884	4.46873	-0.0179867	0.999838	38
-0.900884	4.46873	-0.0179867	0.999838	38
-0.900884	4.46873	-0.0179867	0.999838	38
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
